LGA_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA30250,0,4,10,10,7,3,0,0,0,34,0,0,3,3,0,6,0,0,0,10,11,21,54,52,49,33,4,0,0,231
LGA30300,4,14,13,20,12,7,3,0,0,75,16,3,13,21,17,22,4,0,0,92,116,154,389,422,486,398,143,31,6,2149
LGA30370,22,30,70,50,30,32,10,0,0,243,21,22,38,49,51,36,24,4,0,248,416,570,1444,1503,1564,1173,399,113,13,7185
LGA30410,3,10,3,4,4,7,0,0,0,31,7,6,11,13,9,6,3,4,0,54,67,128,251,260,344,278,93,28,0,1447
LGA30450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,25,20,55,31,10,0,0,167
LGA30760,0,4,3,3,3,0,3,0,0,20,0,0,8,5,8,4,9,4,0,38,37,49,164,186,186,207,76,16,0,932
LGA30900,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,14,29,52,31,33,47,12,3,0,218
LGA31000,825,2323,5254,4135,3765,2421,683,77,0,19486,895,2374,5756,4956,4126,2462,798,194,66,21628,27950,62856,147792,129524,113603,70061,16676,1771,220,570455
LGA31750,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,0,0,0,10,9,17,38,41,40,58,12,0,4,220
LGA31820,80,132,261,251,264,219,60,3,0,1280,96,142,272,248,314,218,95,27,15,1425,2394,2845,6019,6758,8022,6301,1404,202,26,33970
LGA31900,27,50,43,52,64,41,17,4,0,305,21,23,36,67,68,66,26,9,4,308,522,669,1258,1521,1801,1547,421,86,10,7841
LGA31950,0,0,7,5,0,0,0,0,0,13,0,0,5,4,0,0,3,0,0,11,8,20,29,30,22,35,9,0,0,147
LGA32080,140,319,708,742,600,386,138,6,0,3050,149,252,564,639,620,398,153,39,6,2830,4088,5861,14803,16664,16617,11314,2727,289,46,72405
LGA32250,0,0,0,6,0,6,0,0,0,18,7,6,7,9,12,12,7,0,0,51,42,72,153,153,180,166,47,3,0,813
LGA32260,29,56,86,87,94,71,19,6,0,448,42,75,120,101,133,96,34,7,0,606,710,963,2119,2170,2817,2515,647,130,15,12084
LGA32270,40,92,164,109,85,59,17,0,0,566,27,49,93,97,98,64,24,3,0,459,725,1214,3232,3064,2861,1832,448,71,16,13460
LGA32310,15,26,37,38,25,22,11,4,0,183,17,20,24,38,44,33,12,4,0,189,336,358,783,964,1030,827,235,38,8,4579
LGA32330,0,5,0,5,7,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,10,26,35,27,30,0,0,0,127
LGA32450,4,0,11,6,5,10,0,0,0,47,0,0,9,9,7,7,3,0,0,52,68,136,401,303,294,241,68,7,0,1520
LGA32500,7,13,13,19,14,6,3,0,0,73,3,4,20,21,17,16,7,0,0,94,76,156,325,338,361,350,94,15,0,1707
LGA32600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,9,23,18,29,20,3,3,0,110
LGA32750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,13,19,38,32,33,28,11,0,0,164
LGA32770,3,4,16,15,8,3,0,0,0,49,0,0,0,0,0,0,0,0,0,3,12,31,71,87,47,31,0,0,0,279
LGA32810,11,16,44,44,41,35,5,0,0,188,7,18,54,58,72,39,15,4,0,270,242,344,1074,1140,1288,1044,311,55,5,5509
LGA33100,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,5,20,22,67,57,95,66,24,4,0,360
LGA33200,0,3,4,6,6,3,0,0,0,20,3,3,7,0,6,6,3,0,0,31,42,74,130,118,182,145,87,21,5,795
LGA33220,90,117,261,277,306,237,51,6,0,1336,80,127,201,288,315,256,92,29,3,1388,2126,2380,5201,6796,8010,6277,1293,160,27,32271
LGA33360,54,146,217,224,187,111,26,3,0,974,61,108,248,257,284,132,40,5,0,1135,1673,2359,5758,6267,6419,3823,701,73,9,27074
LGA33430,419,1019,2567,2407,2102,1405,429,30,0,10372,638,1204,2704,2813,2772,1864,634,136,32,12806,15129,24893,56327,57982,56207,38119,10689,1082,114,260548
LGA33610,10,23,53,30,47,30,4,0,0,194,10,16,41,42,41,35,19,9,3,206,268,391,942,938,1067,891,275,67,15,4855
LGA33620,54,92,152,172,154,113,19,3,0,759,72,60,126,139,194,147,60,29,4,836,1141,1282,2771,3442,4360,3476,867,140,23,17499
LGA33800,16,17,30,36,44,24,8,0,0,172,11,11,18,21,44,54,26,15,4,197,287,294,630,787,1143,965,348,92,12,4562
LGA33830,0,10,13,11,8,4,0,0,0,48,0,3,0,0,0,0,0,0,0,8,9,23,59,59,49,23,3,0,0,230
LGA33960,183,408,924,751,603,372,73,6,0,3324,224,459,951,884,849,456,119,16,4,3969,5104,8957,21053,19149,17523,10441,1856,174,18,84285
LGA33980,31,36,99,55,52,26,9,0,0,308,16,23,64,48,53,48,9,3,0,262,482,833,2653,2507,2030,1196,233,40,8,9972
LGA34420,0,0,0,0,8,5,0,0,0,16,0,3,3,0,0,0,0,0,0,6,4,26,46,50,54,41,3,0,0,227
LGA34530,59,82,127,146,121,102,15,4,0,655,36,43,86,117,123,96,28,9,3,534,1059,1194,2468,3265,3862,2904,569,92,7,15425
LGA34570,4,3,7,5,3,4,0,0,0,34,0,0,4,3,0,0,3,0,0,19,18,13,51,37,36,23,7,0,0,189
LGA34580,30,65,123,99,121,110,31,7,0,586,35,63,161,147,139,100,51,13,3,719,1064,1516,2962,3129,3678,2615,678,105,11,15762
LGA34590,336,706,1411,1264,1149,806,185,16,0,5876,369,925,1787,1701,1481,988,254,49,9,7569,7988,13396,29499,29919,27993,19010,3868,260,28,131955
LGA34710,14,15,13,9,9,19,3,0,0,84,14,4,14,15,13,21,9,3,0,87,149,168,344,338,411,385,109,25,3,1938
LGA34770,199,346,639,539,485,329,68,3,0,2604,120,204,420,429,529,337,115,28,12,2202,3233,4512,11025,11233,12384,8410,1665,237,27,52732
LGA34800,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,3,0,0,0,6,12,42,107,110,95,88,32,5,0,490
LGA34830,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,10,12,13,16,16,4,0,0,82
LGA34860,18,35,58,38,35,23,14,0,0,224,27,38,62,66,52,46,21,6,0,317,354,554,1421,1235,1319,997,355,107,20,6356
LGA34880,26,27,62,58,62,45,15,0,0,298,29,30,53,66,79,68,24,3,0,366,474,556,1304,1636,2106,1641,475,83,8,8284
LGA35010,445,882,1854,1733,1728,1109,265,31,3,8046,523,863,1600,1909,1980,1215,376,80,19,8571,12537,17835,37579,43727,43897,27753,5648,443,58,189495
LGA35250,3,7,3,7,6,3,0,0,0,26,0,0,0,0,0,0,0,0,0,8,19,29,81,68,60,35,12,3,0,314
LGA35300,33,49,100,69,48,35,14,0,0,354,21,41,65,70,56,57,10,0,0,321,509,952,2526,1920,1855,1062,246,24,0,9108
LGA35600,3,3,14,9,12,11,5,0,0,60,7,12,17,19,9,13,10,0,0,94,112,187,403,391,435,398,99,16,0,2046
LGA35670,0,3,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,8,0,23,40,38,38,12,3,0,0,153
LGA35740,46,75,175,203,236,135,28,0,0,906,65,84,114,220,288,202,71,19,0,1053,1381,1288,2842,4611,5924,4579,1247,126,10,22007
LGA35760,16,9,22,28,22,19,8,0,0,129,18,17,42,38,31,32,20,4,0,208,238,282,706,765,1012,857,367,91,11,4334
LGA35780,14,17,22,16,6,9,0,0,0,75,3,3,9,3,4,7,0,0,0,20,59,88,200,171,157,111,13,0,0,804
LGA35790,3,4,7,10,11,4,3,0,0,47,3,0,0,0,3,0,0,0,0,8,27,34,98,100,131,77,9,0,0,487
LGA35800,0,3,4,3,6,3,5,0,0,22,0,3,6,5,5,9,5,5,0,34,22,51,136,115,160,172,60,16,0,720
LGA36070,0,0,4,7,11,0,0,0,0,21,0,0,0,0,3,0,0,0,0,4,13,22,37,55,50,20,4,0,0,212
LGA36150,0,3,5,0,0,0,0,0,0,11,0,0,0,3,0,3,7,0,0,19,19,44,104,70,108,80,27,7,3,452
LGA36250,144,334,633,578,703,499,123,15,0,3019,172,257,532,690,730,539,143,33,5,3110,4798,6212,12359,14820,17051,12136,2530,220,33,70168
LGA36300,0,0,7,0,0,3,0,0,0,6,0,0,9,0,6,0,5,0,0,23,21,43,108,57,81,89,25,7,0,434
LGA36370,89,210,359,265,285,239,56,6,0,1505,73,147,278,220,237,152,39,21,3,1168,2409,3569,7812,6867,7296,5170,1039,139,19,34314
LGA36510,46,62,122,153,147,127,33,5,0,682,50,59,100,188,204,151,49,27,0,838,1064,1165,2329,3540,4312,3289,1035,182,18,16926
LGA36580,30,33,55,70,76,68,20,0,0,343,27,32,72,78,103,76,34,14,3,441,538,671,1589,1896,2192,1797,498,66,11,9270
LGA36630,36,40,72,97,93,60,33,6,0,438,40,29,67,105,102,98,55,16,0,519,774,934,1893,2246,2742,2206,703,152,11,11656
LGA36660,45,61,99,113,101,98,31,3,0,559,41,49,99,100,111,119,49,11,12,595,1024,1109,2140,2633,3276,2841,877,165,29,14094
LGA36720,248,540,1051,1103,1220,762,193,21,0,5132,347,455,976,1269,1306,961,315,82,24,5735,8514,10681,23125,28396,31378,21866,5097,502,72,129641
LGA36820,35,31,56,74,74,61,21,0,0,358,26,30,59,62,92,77,43,24,0,415,647,609,1358,1768,2349,2137,666,113,11,9654
LGA36910,214,402,691,505,555,402,128,16,3,2911,181,227,520,493,507,426,162,62,9,2593,4830,6892,14394,14166,15479,11769,3167,430,58,71188
LGA36950,5,7,10,9,3,11,3,0,0,48,3,10,15,19,9,12,0,0,0,67,52,116,353,322,262,217,44,7,0,1379
LGA36960,3,16,28,31,21,14,3,0,0,121,3,7,12,10,4,0,0,0,0,33,25,99,242,236,208,137,14,0,0,974
LGA37010,188,438,845,644,601,419,121,9,0,3263,186,307,578,632,588,435,119,27,9,2882,5693,10222,19779,18282,17905,11951,2358,223,32,86449
LGA37300,3,4,16,7,10,3,0,0,0,47,4,18,10,10,9,6,0,0,0,58,94,157,579,548,504,237,31,3,0,2152
LGA37310,44,70,94,101,96,70,33,3,0,521,46,48,118,103,119,98,46,17,5,612,934,1256,2812,2990,3074,2285,850,184,28,14418
LGA37340,32,51,133,125,120,80,31,3,0,573,36,74,155,141,143,111,42,14,3,719,800,1441,3571,3280,3287,2553,640,93,13,15681
LGA37400,0,0,7,0,3,4,0,0,0,15,3,0,3,4,3,3,3,0,0,24,23,47,109,88,127,123,41,5,3,572
LGA37550,4,0,13,3,9,3,0,0,0,35,0,0,0,0,0,0,0,0,0,4,12,17,39,38,46,30,4,0,0,193
LGA37570,0,3,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,3,8,14,14,15,7,0,0,0,64
LGA37600,3,4,16,9,10,0,0,0,0,44,3,8,4,5,0,0,0,0,0,19,13,43,87,75,86,39,5,0,0,343
LGA39499,0,16,35,20,17,14,0,0,0,99,4,39,79,56,45,22,11,3,0,257,103,480,1010,470,509,430,76,6,0,3087
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,8,3,9,8,11,19,3,0,0,60
